,Avg. sheep,Avg. wolves
844,3067.75,67.6
845,471.18,51.74
846,679.91,281.95
847,486.71,66.94
848,361.29,69.96
849,361.29,69.96
850,323.95,86.6
851,991.94,227.57
852,610.9,32.95
853,361.29,69.96
854,178.5,114.66
855,184.09,125.09
856,178.5,114.66
857,178.5,114.66
858,214.68,96.88
859,341.19,397.99
860,145.48,123.94
861,208.31,383.1
862,171.11,339.19
863,171.11,339.19
864,178.84,326.63
865,175.19,163.49
866,427.36,440.79
867,171.11,339.19
868,168.93,39.16
869,142.26,35.77
870,168.93,39.16
871,168.93,39.16
872,119.39,57.17
873,259.87,265.1
874,114.68,33.66
875,169.74,286.25
876,195.34,264.68
877,195.34,264.68
878,407.29,203.43
879,112.77,73.1
880,182.52,270.82
881,195.34,264.68
882,259.7,195.86
883,407.56,169.71
884,259.7,195.86
885,259.7,195.86
886,727.27,111.49
887,128.75,76.05
888,345.98,172.05
889,172.28,40.08
890,208.48,36.47
891,208.48,36.47
892,144.91,63.07
893,779.72,90.39
894,185.8,40.81
895,208.48,36.47
896,235.92,91.26
897,168.85,82.72
898,235.92,91.26
899,235.92,91.26
900,169.76,112.37
901,131.51,43.3
902,276.4,57.17
903,141.25,49.68
904,111.09,58.55
905,111.09,58.55
906,184.41,33.27
907,256.48,55.16
908,101.45,66.25
909,111.09,58.55
910,323.83,292.2
911,478.36,403.02
912,323.83,292.2
913,323.83,292.2
914,221.81,320.98
915,361.13,206.88
916,533.43,248.06
917,249.5,206.05
918,380.65,196.63
919,380.65,196.63
920,541.19,153.7
921,373.1,371.34
922,206.17,243.06
923,380.65,196.63
924,311.49,550.62
925,307.87,552.67
926,311.49,550.62
927,311.49,550.62
928,1146.49,374.24
929,264.45,375.59
930,274.45,564.51
931,363.8,403.54
932,272.26,347.91
933,272.26,347.91
934,187.44,382.64
935,441.51,548.77
936,351.7,360.47
937,272.26,347.91
938,659.54,60.06
939,399.79,89.74
940,659.54,60.06
941,659.54,60.06
942,323.79,105.79
943,424.17,47.03
944,454.7,102.56
945,163.92,99.08
946,199.77,96.99
947,199.77,96.99
948,275.41,63.11
949,243.11,164.46
950,243.03,89.74
951,199.77,96.99
952,361.8,95.74
953,370.15,77.43
954,361.8,95.74
955,361.8,95.74
956,337.54,98.47
957,1361.32,192.88
958,275.59,105.08
959,495.62,355.2
960,737.79,309.56
961,737.79,309.56
962,782.84,262.11
963,319.2,82.85
964,1245.22,191.64
965,737.79,309.56
966,168.8,364.28
967,211.33,425.43
968,168.8,364.28
969,168.8,364.28
970,226.0,450.59
971,152.37,179.87
972,157.92,375.94
973,140.14,200.27
974,133.79,187.47
975,133.79,187.47
976,112.86,173.92
977,208.01,429.23
978,115.45,158.92
979,133.79,187.47
980,454.33,174.43
981,460.62,185.59
982,454.33,174.43
983,454.33,174.43
984,302.65,220.38
985,244.82,53.04
986,420.77,190.18
987,160.67,95.03
988,154.95,87.79
989,154.95,87.79
990,207.17,36.39
991,218.99,284.23
992,170.32,71.58
993,154.95,87.79
994,205.07,53.82
995,190.46,37.9
996,205.07,53.82
997,205.07,53.82
998,313.79,29.33
999,1110.46,97.17
1000,185.88,56.19
1001,1185.28,91.56
1002,1408.18,88.98
1003,1408.18,88.98
1004,615.72,144.48
1005,221.21,31.5
1006,1696.74,64.5
1007,1408.18,88.98
1008,393.33,491.22
1009,307.68,479.41
1010,393.33,491.22
1011,393.33,491.22
1012,303.6,486.23
1013,232.56,279.91
1014,611.14,353.05
1015,362.87,233.19
1016,375.0,314.79
1017,375.0,314.79
1018,383.41,292.67
1019,486.57,412.87
1020,271.35,363.53
1021,375.0,314.79
1022,240.15,144.94
1023,239.63,131.57
1024,240.15,144.94
1025,240.15,144.94
1026,506.57,57.12
1027,167.37,86.37
1028,119.2,172.23
1029,301.29,71.64
1030,294.95,37.77
1031,294.95,37.77
1032,122.14,116.92
1033,357.23,163.1
1034,243.94,30.19
1035,294.95,37.77
1036,317.96,23.63
1037,290.46,28.51
1038,317.96,23.63
1039,317.96,23.63
1040,241.6,33.37
1041,1078.2,33.37
1042,261.02,48.33
1043,282.66,131.43
1044,272.99,211.88
1045,272.99,211.88
1046,281.54,169.29
1047,187.1,60.54
1048,613.95,62.15
1049,272.99,211.88
1050,287.72,312.01
1051,377.98,239.98
1052,287.72,312.01
1053,287.72,312.01
1054,221.95,273.19
1055,393.23,462.84
1056,490.28,149.26
1057,671.77,227.57
1058,1245.36,204.86
1059,1245.36,204.86
1060,870.23,223.35
1061,561.05,143.28
1062,322.83,516.66
1063,1245.36,204.86
1064,159.45,213.64
1065,143.42,163.27
1066,159.45,213.64
1067,159.45,213.64
1068,303.62,211.19
1069,157.43,159.62
1070,485.04,103.11
1071,425.61,45.45
1072,324.2,44.54
1073,324.2,44.54
1074,219.16,82.54
1075,753.92,60.35
1076,250.75,93.14
1077,324.2,44.54
1078,127.51,33.12
1079,151.28,32.6
1080,127.51,33.12
1081,127.51,33.12
1082,119.59,49.83
1083,861.43,289.55
1084,127.44,32.45
1085,340.76,428.41
1086,305.22,433.2
1087,305.22,433.2
1088,609.27,386.4
1089,115.66,58.99
1090,590.52,279.71
1091,305.22,433.2
1092,180.33,103.91
1093,236.45,95.68
1094,180.33,103.91
1095,180.33,103.91
1096,208.58,85.92
1097,386.73,139.66
1098,132.63,147.18
1099,163.5,253.13
1100,155.52,263.52
1101,155.52,263.52
1102,137.48,254.25
1103,135.29,150.47
1104,528.31,123.65
1105,155.52,263.52
1106,294.81,406.75
1107,337.96,345.91
1108,294.81,406.75
1109,294.81,406.75
1110,389.8,384.18
1111,116.19,47.58
1112,598.49,219.24
1113,156.32,40.97
1114,130.81,46.05
1115,130.81,46.05
1116,132.51,60.22
1117,452.69,249.04
1118,128.57,47.78
1119,130.81,46.05
1120,373.47,136.19
1121,329.65,135.53
1122,373.47,136.19
1123,373.47,136.19
1124,181.96,210.24
1125,188.81,49.16
1126,389.95,106.89
1127,105.52,79.07
1128,138.53,80.02
1129,138.53,80.02
1130,251.03,37.86
1131,188.05,211.11
1132,118.71,76.98
1133,138.53,80.02
1134,3813.01,129.99
1135,3478.05,146.18
1136,3813.01,129.99
1137,3813.01,129.99
1138,3212.1,123.54
1139,813.67,90.69
1140,269.06,571.63
1141,186.25,231.89
1142,211.03,266.39
1143,211.03,266.39
1144,157.2,266.85
1145,352.73,560.51
1146,900.88,122.17
1147,211.03,266.39
1148,467.93,257.44
1149,666.72,207.15
1150,467.93,257.44
1151,467.93,257.44
1152,1853.01,142.16
1153,807.29,314.48
1154,232.39,312.65
1155,418.87,434.65
1156,797.17,356.5
1157,797.17,356.5
1158,379.95,468.77
1159,457.7,277.66
1160,1591.52,190.27
1161,797.17,356.5
1162,150.06,82.08
1163,112.6,103.97
1164,150.06,82.08
1165,150.06,82.08
1166,192.33,74.43
1167,129.04,159.64
1168,196.5,88.07
1169,307.9,82.01
1170,349.62,93.19
1171,349.62,93.19
1172,309.44,88.26
1173,203.47,60.09
1174,171.05,159.73
1175,349.62,93.19
1176,119.99,75.95
1177,111.52,68.46
1178,119.99,75.95
1179,119.99,75.95
1180,157.03,55.5
1181,414.57,660.52
1182,138.47,51.98
1183,6123.57,105.37
1184,7479.61,107.94
1185,7479.61,107.94
1186,4450.47,116.91
1187,228.61,38.73
1188,534.68,609.16
1189,7479.61,107.94
1190,653.07,108.7
1191,592.23,105.48
1192,653.07,108.7
1193,653.07,108.7
1194,410.96,149.37
1195,525.45,104.82
1196,374.7,226.6
1197,179.83,229.14
1198,181.21,192.46
1199,181.21,192.46
1200,378.85,122.99
1201,203.59,276.79
1202,241.06,145.12
1203,181.21,192.46
1204,371.41,329.51
1205,439.39,342.4
1206,371.41,329.51
1207,371.41,329.51
1208,246.86,364.33
1209,176.98,93.08
1210,265.52,425.22
1211,124.79,108.91
1212,180.58,99.57
1213,180.58,99.57
1214,131.25,90.64
1215,239.17,441.34
1216,158.31,98.65
1217,180.58,99.57
1218,313.31,99.97
1219,292.12,62.65
1220,313.31,99.97
1221,313.31,99.97
1222,200.35,96.79
1223,383.27,349.14
1224,352.99,65.06
1225,938.49,166.56
1226,955.96,145.01
1227,955.96,145.01
1228,1502.74,120.98
1229,275.02,63.21
1230,236.46,333.83
1231,955.96,145.01
1232,179.55,76.68
1233,111.34,83.73
1234,179.55,76.68
1235,179.55,76.68
1236,118.83,94.2
1237,204.54,70.57
1238,150.32,94.18
1239,131.65,61.79
1240,140.35,98.06
1241,140.35,98.06
1242,154.06,82.6
1243,102.66,90.16
1244,123.27,93.83
1245,140.35,98.06
1246,802.63,109.13
1247,1325.62,94.07
1248,802.63,109.13
1249,802.63,109.13
1250,1371.0,84.13
1251,1121.74,79.89
1252,696.15,164.01
1253,765.58,129.59
1254,934.44,125.57
1255,934.44,125.57
1256,464.69,144.39
1257,727.33,151.99
1258,809.5,109.15
1259,934.44,125.57
1260,766.07,262.98
1261,256.38,398.49
1262,766.07,262.98
1263,766.07,262.98
1264,728.77,244.41
1265,304.55,348.96
1266,1463.75,128.31
1267,2710.73,118.05
1268,1969.07,121.67
1269,1969.07,121.67
1270,1674.46,130.17
1271,3124.74,123.24
1272,470.75,289.24
1273,1969.07,121.67
1274,187.16,145.1
1275,198.79,188.44
